,team,score,first_downs,possession,yards_per_game
0,49ers,28.55,22.4,1888.95,267.64
1,Bears,21.18,18.94,1917.76,354.11
2,Bengals,21.53,19.35,1856.59,324.08
3,Bills,26.63,22.74,1941.74,288.74
4,Broncos,21.0,17.71,1770.82,293.44
5,Browns,22.78,19.06,1949.06,334.41
6,Buccaneers,21.21,18.21,1775.47,307.59
7,Cardinals,19.41,19.41,1757.59,366.72
8,Chargers,20.35,18.76,1736.65,350.19
9,Chiefs,22.19,21.05,1854.33,333.88
10,Colts,23.29,19.06,1768.18,317.06
11,Commanders,19.35,18.88,1778.12,336.81
12,Cowboys,30.06,23.44,1905.44,317.61
13,Dolphins,27.94,20.72,1796.11,357.89
14,Eagles,24.56,21.67,1850.5,304.51
15,Falcons,18.88,19.18,1749.12,383.73
16,Giants,15.65,15.71,1773.18,349.88
17,Jaguars,22.18,19.76,1854.88,349.69
18,Jets,15.76,15.29,1749.41,312.38
19,Lions,27.35,22.6,1868.7,414.58
20,Packers,23.79,20.0,1782.37,328.13
21,Panthers,13.88,17.47,1866.65,350.21
22,Patriots,13.88,15.35,1682.76,319.88
23,Raiders,19.53,17.18,1714.06,366.76
24,Rams,23.72,20.72,1845.67,332.7
25,Ravens,27.74,20.89,1865.42,365.34
26,Saints,23.65,19.82,1870.24,332.91
27,Seahawks,21.41,18.65,1614.18,387.18
28,Steelers,17.83,17.17,1768.67,372.36
29,Texans,22.74,18.58,1746.16,402.78
30,Titans,17.94,17.53,1792.12,369.28
31,Vikings,20.24,20.0,1755.76,388.42
